Age Group (years),Age-Specific Rate,Case Count,Population
<1,Data Suppressed,Data Suppressed,1823731
1-4,Data Suppressed,Data Suppressed,7655419
5-9,Data Suppressed,Data Suppressed,9791993
10-14,Data Suppressed,Data Suppressed,10092907
15-19,0.2,24,10224650
20-24,1.8,184,10487311
25-29,10.5,1192,11405591
30-34,30.1,3305,10983982
35-39,64.8,6964,10754701
40-44,131.7,13064,9917482
45-49,201,20518,10208278
50-54,240.7,24768,10291892
55-59,273.3,30422,11132924
60-64,339.8,36064,10613624
65-69,425.2,38975,9166314
70-74,475.8,35472,7455339
75-79,466.1,24628,5283940
80-84,420.7,15175,3607299
85+,318.2,13360,4198974
